time (s),Parameter,dV(out),dV(vdd)
9.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
9.000000e-10,M1_KP,0.000000e+00,0.000000e+00
9.000000e-10,M1_MU,0.000000e+00,0.000000e+00
9.000000e-10,M1_COX,0.000000e+00,0.000000e+00
9.000000e-10,C1,-0.000000e+00,-0.000000e+00
1.000000e-09,V1,4.761905e-02,1.000000e+00
1.000000e-09,V2,0.000000e+00,0.000000e+00
1.000000e-09,R1,8.458842e-21,-0.000000e+00
1.000000e-09,M1_W,0.000000e+00,0.000000e+00
1.000000e-09,M1_L,-0.000000e+00,-0.000000e+00
1.000000e-09,M1_VTO,0.000000e+00,0.000000e+00
1.000000e-09,M1_KP,0.000000e+00,0.000000e+00
1.000000e-09,M1_MU,0.000000e+00,0.000000e+00
1.000000e-09,M1_COX,0.000000e+00,0.000000e+00
1.000000e-09,C1,-0.000000e+00,-0.000000e+00
1.100000e-09,V1,4.682108e-02,1.000000e+00
1.100000e-09,V2,-3.859039e-01,0.000000e+00
1.100000e-09,R1,-4.115344e-06,0.000000e+00
1.100000e-09,M1_W,4.321112e+05,0.000000e+00
1.100000e-09,M1_L,-8.642223e+05,-0.000000e+00
1.100000e-09,M1_VTO,-3.859039e-01,-0.000000e+00
1.100000e-09,M1_KP,8.642223e+03,0.000000e+00
1.100000e-09,M1_MU,0.000000e+00,0.000000e+00
1.100000e-09,M1_COX,0.000000e+00,0.000000e+00
1.100000e-09,C1,8.230689e+12,0.000000e+00
1.200000e-09,V1,4.093440e-02,1.000000e+00
1.200000e-09,V2,-2.116582e-01,0.000000e+00
1.200000e-09,R1,-9.884288e-06,0.000000e+00
1.200000e-09,M1_W,3.182634e+05,0.000000e+00
1.200000e-09,M1_L,-6.365268e+05,-0.000000e+00
1.200000e-09,M1_VTO,-2.116582e-01,-0.000000e+00
1.200000e-09,M1_KP,6.365268e+03,0.000000e+00
1.200000e-09,M1_MU,0.000000e+00,0.000000e+00
1.200000e-09,M1_COX,0.000000e+00,0.000000e+00
1.200000e-09,C1,1.257271e+13,0.000000e+00
1.300000e-09,V1,3.774595e-02,1.000000e+00
1.300000e-09,V2,-1.172801e-01,0.000000e+00
1.300000e-09,R1,-1.300897e-05,0.000000e+00
1.300000e-09,M1_W,2.066022e+05,0.000000e+00
1.300000e-09,M1_L,-4.132044e+05,-0.000000e+00
1.300000e-09,M1_VTO,-1.172801e-01,-0.000000e+00
1.300000e-09,M1_KP,4.132044e+03,0.000000e+00
1.300000e-09,M1_MU,0.000000e+00,0.000000e+00
1.300000e-09,M1_COX,0.000000e+00,0.000000e+00
1.300000e-09,C1,7.789174e+12,0.000000e+00
1.400000e-09,V1,3.622907e-02,1.000000e+00
1.400000e-09,V2,-7.238034e-02,0.000000e+00
1.400000e-09,R1,-1.449552e-05,0.000000e+00
1.400000e-09,M1_W,1.375421e+05,0.000000e+00
1.400000e-09,M1_L,-2.750842e+05,-0.000000e+00
1.400000e-09,M1_VTO,-7.238035e-02,-0.000000e+00
1.400000e-09,M1_KP,2.750842e+03,0.000000e+00
1.400000e-09,M1_MU,0.000000e+00,0.000000e+00
1.400000e-09,M1_COX,0.000000e+00,0.000000e+00
1.400000e-09,C1,4.018663e+12,0.000000e+00
1.500000e-09,V1,3.556460e-02,1.000000e+00
1.500000e-09,V2,-5.271222e-02,0.000000e+00
1.500000e-09,R1,-1.514669e-05,0.000000e+00
1.500000e-09,M1_W,1.035653e+05,0.000000e+00
1.500000e-09,M1_L,-2.071307e+05,-0.000000e+00
1.500000e-09,M1_VTO,-5.271223e-02,-0.000000e+00
1.500000e-09,M1_KP,2.071307e+03,0.000000e+00
1.500000e-09,M1_MU,0.000000e+00,0.000000e+00
1.500000e-09,M1_COX,0.000000e+00,0.000000e+00
1.500000e-09,C1,1.834062e+12,0.000000e+00
1.600000e-09,V1,3.528628e-02,1.000000e+00
1.600000e-09,V2,-4.447391e-02,0.000000e+00
1.600000e-09,R1,-1.541944e-05,0.000000e+00
1.600000e-09,M1_W,8.861218e+04,0.000000e+00
1.600000e-09,M1_L,-1.772244e+05,-0.000000e+00
1.600000e-09,M1_VTO,-4.447391e-02,-0.000000e+00
1.600000e-09,M1_KP,1.772244e+03,0.000000e+00
1.600000e-09,M1_MU,0.000000e+00,0.000000e+00
1.600000e-09,M1_COX,0.000000e+00,0.000000e+00
1.600000e-09,C1,7.825810e+11,0.000000e+00
1.700000e-09,V1,3.517214e-02,1.000000e+00
1.700000e-09,V2,-4.109525e-02,0.000000e+00
1.700000e-09,R1,-1.553131e-05,0.000000e+00
1.700000e-09,M1_W,8.235280e+04,0.000000e+00
1.700000e-09,M1_L,-1.647056e+05,-0.000000e+00
1.700000e-09,M1_VTO,-4.109525e-02,-0.000000e+00
1.700000e-09,M1_KP,1.647056e+03,0.000000e+00
1.700000e-09,M1_MU,0.000000e+00,0.000000e+00
1.700000e-09,M1_COX,0.000000e+00,0.000000e+00
1.700000e-09,C1,3.234797e+11,0.000000e+00
1.800000e-09,V1,3.512575e-02,1.000000e+00
1.800000e-09,V2,-3.972224e-02,0.000000e+00
1.800000e-09,R1,-1.557676e-05,0.000000e+00
1.800000e-09,M1_W,7.978779e+04,0.000000e+00
1.800000e-09,M1_L,-1.595756e+05,-0.000000e+00
1.800000e-09,M1_VTO,-3.972224e-02,-0.000000e+00
1.800000e-09,M1_KP,1.595756e+03,0.000000e+00
1.800000e-09,M1_MU,0.000000e+00,0.000000e+00
1.800000e-09,M1_COX,0.000000e+00,0.000000e+00
1.800000e-09,C1,1.318810e+11,0.000000e+00
1.900000e-09,V1,3.510697e-02,1.000000e+00
1.900000e-09,V2,-3.916641e-02,0.000000e+00
1.900000e-09,R1,-1.559517e-05,0.000000e+00
1.900000e-09,M1_W,7.874587e+04,0.000000e+00
1.900000e-09,M1_L,-1.574917e+05,-0.000000e+00
