time (s),Parameter,dV(out),dV(in)
1.670000e-03,V1,4.761905e-02,1.000000e+00
1.670000e-03,R1,3.067652e-07,-0.000000e+00
1.670000e-03,C1,6.458214e+03,0.000000e+00
1.680000e-03,V1,4.761905e-02,1.000000e+00
1.680000e-03,R1,2.775495e-07,-0.000000e+00
1.680000e-03,C1,5.843146e+03,0.000000e+00
1.690000e-03,V1,4.761905e-02,1.000000e+00
1.690000e-03,R1,2.511162e-07,-0.000000e+00
1.690000e-03,C1,5.286656e+03,0.000000e+00
1.700000e-03,V1,4.761905e-02,1.000000e+00
1.700000e-03,R1,2.272003e-07,-0.000000e+00
1.700000e-03,C1,4.783165e+03,0.000000e+00
1.710000e-03,V1,4.761905e-02,1.000000e+00
1.710000e-03,R1,2.055622e-07,-0.000000e+00
1.710000e-03,C1,4.327626e+03,0.000000e+00
1.720000e-03,V1,4.761905e-02,1.000000e+00
1.720000e-03,R1,1.859849e-07,-0.000000e+00
1.720000e-03,C1,3.915471e+03,0.000000e+00
1.730000e-03,V1,4.761905e-02,1.000000e+00
1.730000e-03,R1,1.682720e-07,-0.000000e+00
1.730000e-03,C1,3.542569e+03,0.000000e+00
1.740000e-03,V1,4.761905e-02,1.000000e+00
1.740000e-03,R1,1.522461e-07,-0.000000e+00
1.740000e-03,C1,3.205181e+03,0.000000e+00
1.750000e-03,V1,4.761905e-02,1.000000e+00
1.750000e-03,R1,1.377465e-07,-0.000000e+00
1.750000e-03,C1,2.899926e+03,0.000000e+00
1.760000e-03,V1,4.761905e-02,1.000000e+00
1.760000e-03,R1,1.246278e-07,-0.000000e+00
1.760000e-03,C1,2.623743e+03,0.000000e+00
1.770000e-03,V1,4.761905e-02,1.000000e+00
1.770000e-03,R1,1.127585e-07,-0.000000e+00
1.770000e-03,C1,2.373862e+03,0.000000e+00
1.780000e-03,V1,4.761905e-02,1.000000e+00
1.780000e-03,R1,1.020196e-07,-0.000000e+00
1.780000e-03,C1,2.147780e+03,0.000000e+00
1.790000e-03,V1,4.761905e-02,1.000000e+00
1.790000e-03,R1,9.230341e-08,-0.000000e+00
1.790000e-03,C1,1.943230e+03,0.000000e+00
1.800000e-03,V1,4.761905e-02,1.000000e+00
1.800000e-03,R1,8.351261e-08,-0.000000e+00
1.800000e-03,C1,1.758160e+03,0.000000e+00
1.810000e-03,V1,4.761905e-02,1.000000e+00
1.810000e-03,R1,7.555903e-08,-0.000000e+00
1.810000e-03,C1,1.590716e+03,0.000000e+00
1.820000e-03,V1,4.761905e-02,1.000000e+00
1.820000e-03,R1,6.836293e-08,-0.000000e+00
1.820000e-03,C1,1.439220e+03,0.000000e+00
1.830000e-03,V1,4.761905e-02,1.000000e+00
1.830000e-03,R1,6.185217e-08,-0.000000e+00
1.830000e-03,C1,1.302151e+03,0.000000e+00
1.840000e-03,V1,4.761905e-02,1.000000e+00
1.840000e-03,R1,5.596149e-08,-0.000000e+00
1.840000e-03,C1,1.178137e+03,0.000000e+00
1.850000e-03,V1,4.761905e-02,1.000000e+00
1.850000e-03,R1,5.063182e-08,-0.000000e+00
1.850000e-03,C1,1.065933e+03,0.000000e+00
1.860000e-03,V1,4.761905e-02,1.000000e+00
1.860000e-03,R1,4.580975e-08,-0.000000e+00
1.860000e-03,C1,9.644157e+02,0.000000e+00
1.870000e-03,V1,4.761905e-02,1.000000e+00
1.870000e-03,R1,4.144691e-08,-0.000000e+00
1.870000e-03,C1,8.725666e+02,0.000000e+00
1.880000e-03,V1,4.761905e-02,1.000000e+00
1.880000e-03,R1,3.749959e-08,-0.000000e+00
1.880000e-03,C1,7.894650e+02,0.000000e+00
1.890000e-03,V1,4.761905e-02,1.000000e+00
1.890000e-03,R1,3.392820e-08,-0.000000e+00
1.890000e-03,C1,7.142779e+02,0.000000e+00
1.900000e-03,V1,4.761905e-02,1.000000e+00
1.900000e-03,R1,3.069694e-08,-0.000000e+00
1.900000e-03,C1,6.462514e+02,0.000000e+00
1.910000e-03,V1,4.761905e-02,1.000000e+00
1.910000e-03,R1,2.777342e-08,-0.000000e+00
1.910000e-03,C1,5.847037e+02,0.000000e+00
1.920000e-03,V1,4.761905e-02,1.000000e+00
1.920000e-03,R1,2.512834e-08,-0.000000e+00
1.920000e-03,C1,5.290176e+02,0.000000e+00
1.930000e-03,V1,4.761905e-02,1.000000e+00
1.930000e-03,R1,2.273516e-08,-0.000000e+00
1.930000e-03,C1,4.786350e+02,0.000000e+00
1.940000e-03,V1,4.761905e-02,1.000000e+00
1.940000e-03,R1,2.056991e-08,-0.000000e+00
1.940000e-03,C1,4.330507e+02,0.000000e+00
1.950000e-03,V1,4.761905e-02,1.000000e+00
1.950000e-03,R1,1.861087e-08,-0.000000e+00
1.950000e-03,C1,3.918078e+02,0.000000e+00
1.960000e-03,V1,4.761905e-02,1.000000e+00
1.960000e-03,R1,1.683840e-08,-0.000000e+00
1.960000e-03,C1,3.544927e+02,0.000000e+00
1.970000e-03,V1,4.761905e-02,1.000000e+00
1.970000e-03,R1,1.523475e-08,-0.000000e+00
1.970000e-03,C1,3.207315e+02,0.000000e+00
1.980000e-03,V1,4.761905e-02,1.000000e+00
1.980000e-03,R1,1.378382e-08,-0.000000e+00
1.980000e-03,C1,2.901857e+02,0.000000e+00
1.990000e-03,V1,4.761905e-02,1.000000e+00
1.990000e-03,R1,1.247107e-08,-0.000000e+00
1.990000e-03,C1,2.625489e+02,0.000000e+00
2.000000e-03,V1,4.761905e-02,1.000000e+00
2.000000e-03,R1,1.128335e-08,-0.000000e+00
2.000000e-03,C1,2.375443e+02,0.000000e+00
2.010000e-03,V1,4.761905e-02,1.000000e+00
2.010000e-03,R1,-2.267472e-04,0.000000e+00
2.010000e-03,C1,-2.267359e+06,-0.000000e+00
2.020000e-03,V1,4.761905e-02,1.000000e+00
2.020000e-03,R1,-2.051522e-04,0.000000e+00
2.020000e-03,C1,-4.318994e+06,-0.000000e+00
2.030000e-03,V1,4.761905e-02,1.000000e+00
2.030000e-03,R1,-1.856139e-04,0.000000e+00
2.030000e-03,C1,-3.907661e+06,-0.000000e+00
2.040000e-03,V1,4.761905e-02,1.000000e+00
2.040000e-03,R1,-1.679364e-04,0.000000e+00
2.040000e-03,C1,-3.535503e+06,-0.000000e+00
2.050000e-03,V1,4.761905e-02,1.000000e+00
2.050000e-03,R1,-1.519424e-04,0.000000e+00
2.050000e-03,C1,-3.198788e+06,-0.000000e+00
2.060000e-03,V1,4.761905e-02,1.000000e+00
2.060000e-03,R1,-1.374717e-04,0.000000e+00
2.060000e-03,C1,-2.894142e+06,-0.000000e+00
2.070000e-03,V1,4.761905e-02,1.000000e+00
2.070000e-03,R1,-1.243792e-04,0.000000e+00
2.070000e-03,C1,-2.618509e+06,-0.000000e+00
2.080000e-03,V1,4.761905e-02,1.000000e+00
2.080000e-03,R1,-1.125335e-04,0.000000e+00
2.080000e-03,C1,-2.369127e+06,-0.000000e+00
2.090000e-03,V1,4.761905e-02,1.000000e+00
2.090000e-03,R1,-1.018161e-04,0.000000e+00
2.090000e-03,C1,-2.143496e+06,-0.000000e+00
2.100000e-03,V1,4.761905e-02,1.000000e+00
2.100000e-03,R1,-9.211930e-05,0.000000e+00
2.100000e-03,C1,-1.939354e+06,-0.000000e+00
2.110000e-03,V1,4.761905e-02,1.000000e+00
2.110000e-03,R1,-8.334603e-05,0.000000e+00
2.110000e-03,C1,-1.754653e+06,-0.000000e+00
2.120000e-03,V1,4.761905e-02,1.000000e+00
2.120000e-03,R1,-7.540831e-05,0.000000e+00
2.120000e-03,C1,-1.587543e+06,-0.000000e+00
2.130000e-03,V1,4.761905e-02,1.000000e+00
2.130000e-03,R1,-6.822657e-05,0.000000e+00
2.130000e-03,C1,-1.436349e+06,-0.000000e+00
2.140000e-03,V1,4.761905e-02,1.000000e+00
2.140000e-03,R1,-6.172880e-05,0.000000e+00
2.140000e-03,C1,-1.299554e+06,-0.000000e+00
2.150000e-03,V1,4.761905e-02,1.000000e+00
2.150000e-03,R1,-5.584987e-05,0.000000e+00
2.150000e-03,C1,-1.175787e+06,-0.000000e+00
2.160000e-03,V1,4.761905e-02,1.000000e+00
2.160000e-03,R1,-5.053083e-05,0.000000e+00
2.160000e-03,C1,-1.063807e+06,-0.000000e+00
2.170000e-03,V1,4.761905e-02,1.000000e+00
2.170000e-03,R1,-4.571837e-05,0.000000e+00
2.170000e-03,C1,-9.624920e+05,-0.000000e+00
2.180000e-03,V1,4.761905e-02,1.000000e+00
2.180000e-03,R1,-4.136424e-05,0.000000e+00
2.180000e-03,C1,-8.708261e+05,-0.000000e+00
2.190000e-03,V1,4.761905e-02,1.000000e+00
2.190000e-03,R1,-3.742479e-05,0.000000e+00
2.190000e-03,C1,-7.878903e+05,-0.000000e+00
2.200000e-03,V1,4.761905e-02,1.000000e+00
2.200000e-03,R1,-3.386052e-05,0.000000e+00
2.200000e-03,C1,-7.128531e+05,-0.000000e+00
2.210000e-03,V1,4.761905e-02,1.000000e+00
2.210000e-03,R1,-3.063571e-05,0.000000e+00
2.210000e-03,C1,-6.449624e+05,-0.000000e+00
2.220000e-03,V1,4.761905e-02,1.000000e+00
2.220000e-03,R1,-2.771803e-05,0.000000e+00
2.220000e-03,C1,-5.835374e+05,-0.000000e+00
2.230000e-03,V1,4.761905e-02,1.000000e+00
2.230000e-03,R1,-2.507821e-05,0.000000e+00
2.230000e-03,C1,-5.279624e+05,-0.000000e+00
2.240000e-03,V1,4.761905e-02,1.000000e+00
2.240000e-03,R1,-2.268981e-05,0.000000e+00
2.240000e-03,C1,-4.776803e+05,-0.000000e+00
2.250000e-03,V1,4.761905e-02,1.000000e+00
2.250000e-03,R1,-2.052888e-05,0.000000e+00
2.250000e-03,C1,-4.321869e+05,-0.000000e+00
2.260000e-03,V1,4.761905e-02,1.000000e+00
2.260000e-03,R1,-1.857375e-05,0.000000e+00
2.260000e-03,C1,-3.910262e+05,-0.000000e+00
2.270000e-03,V1,4.761905e-02,1.000000e+00
2.270000e-03,R1,-1.680482e-05,0.000000e+00
2.270000e-03,C1,-3.537856e+05,-0.000000e+00
2.280000e-03,V1,4.761905e-02,1.000000e+00
2.280000e-03,R1,-1.520436e-05,0.000000e+00
2.280000e-03,C1,-3.200918e+05,-0.000000e+00
2.290000e-03,V1,4.761905e-02,1.000000e+00
2.290000e-03,R1,-1.375633e-05,0.000000e+00
2.290000e-03,C1,-2.896068e+05,-0.000000e+00
2.300000e-03,V1,4.761905e-02,1.000000e+00
2.300000e-03,R1,-1.244620e-05,0.000000e+00
2.300000e-03,C1,-2.620252e+05,-0.000000e+00
2.310000e-03,V1,4.761905e-02,1.000000e+00
2.310000e-03,R1,-1.126085e-05,0.000000e+00
2.310000e-03,C1,-2.370705e+05,-0.000000e+00
2.320000e-03,V1,4.761905e-02,1.000000e+00
2.320000e-03,R1,-1.018839e-05,0.000000e+00
2.320000e-03,C1,-2.144923e+05,-0.000000e+00
2.330000e-03,V1,4.761905e-02,1.000000e+00
2.330000e-03,R1,-9.218063e-06,0.000000e+00
2.330000e-03,C1,-1.940645e+05,-0.000000e+00
2.340000e-03,V1,4.761905e-02,1.000000e+00
2.340000e-03,R1,-8.340152e-06,0.000000e+00
2.340000e-03,C1,-1.755821e+05,-0.000000e+00
2.350000e-03,V1,4.761905e-02,1.000000e+00
2.350000e-03,R1,-7.545852e-06,0.000000e+00
2.350000e-03,C1,-1.588600e+05,-0.000000e+00
2.360000e-03,V1,4.761905e-02,1.000000e+00
2.360000e-03,R1,-6.827199e-06,0.000000e+00
2.360000e-03,C1,-1.437305e+05,-0.000000e+00
2.370000e-03,V1,4.761905e-02,1.000000e+00
2.370000e-03,R1,-6.176990e-06,0.000000e+00
2.370000e-03,C1,-1.300419e+05,-0.000000e+00
2.380000e-03,V1,4.761905e-02,1.000000e+00
2.380000e-03,R1,-5.588705e-06,0.000000e+00
2.380000e-03,C1,-1.176569e+05,-0.000000e+00
2.390000e-03,V1,4.761905e-02,1.000000e+00
2.390000e-03,R1,-5.056447e-06,0.000000e+00
2.390000e-03,C1,-1.064515e+05,-0.000000e+00
2.400000e-03,V1,4.761905e-02,1.000000e+00
2.400000e-03,R1,-4.574881e-06,0.000000e+00
2.400000e-03,C1,-9.631328e+04,-0.000000e+00
2.410000e-03,V1,4.761905e-02,1.000000e+00
2.410000e-03,R1,-4.139178e-06,0.000000e+00
2.410000e-03,C1,-8.714059e+04,-0.000000e+00
2.420000e-03,V1,4.761905e-02,1.000000e+00
2.420000e-03,R1,-3.744971e-06,0.000000e+00
2.420000e-03,C1,-7.884149e+04,-0.000000e+00
2.430000e-03,V1,4.761905e-02,1.000000e+00
2.430000e-03,R1,-3.388307e-06,0.000000e+00
2.430000e-03,C1,-7.133277e+04,-0.000000e+00
2.440000e-03,V1,4.761905e-02,1.000000e+00
2.440000e-03,R1,-3.065611e-06,0.000000e+00
2.440000e-03,C1,-6.453918e+04,-0.000000e+00
2.450000e-03,V1,4.761905e-02,1.000000e+00
2.450000e-03,R1,-2.773648e-06,0.000000e+00
2.450000e-03,C1,-5.839259e+04,-0.000000e+00
2.460000e-03,V1,4.761905e-02,1.000000e+00
2.460000e-03,R1,-2.509491e-06,0.000000e+00
2.460000e-03,C1,-5.283139e+04,-0.000000e+00
2.470000e-03,V1,4.761905e-02,1.000000e+00
2.470000e-03,R1,-2.270492e-06,0.000000e+00
2.470000e-03,C1,-4.779983e+04,-0.000000e+00
2.480000e-03,V1,4.761905e-02,1.000000e+00
2.480000e-03,R1,-2.054255e-06,0.000000e+00
2.480000e-03,C1,-4.324746e+04,-0.000000e+00
2.490000e-03,V1,4.761905e-02,1.000000e+00
2.490000e-03,R1,-1.858611e-06,0.000000e+00
2.490000e-03,C1,-3.912866e+04,-0.000000e+00
2.500000e-03,V1,4.761905e-02,1.000000e+00
2.500000e-03,R1,-1.681601e-06,0.000000e+00
2.500000e-03,C1,-3.540212e+04,-0.000000e+00
2.510000e-03,V1,4.761905e-02,1.000000e+00
2.510000e-03,R1,-1.521448e-06,0.000000e+00
2.510000e-03,C1,-3.203049e+04,-0.000000e+00
2.520000e-03,V1,4.761905e-02,1.000000e+00
2.520000e-03,R1,-1.376548e-06,0.000000e+00
2.520000e-03,C1,-2.897997e+04,-0.000000e+00
2.530000e-03,V1,4.761905e-02,1.000000e+00
2.530000e-03,R1,-1.245449e-06,0.000000e+00
2.530000e-03,C1,-2.621997e+04,-0.000000e+00
2.540000e-03,V1,4.761905e-02,1.000000e+00
2.540000e-03,R1,-1.126834e-06,0.000000e+00
2.540000e-03,C1,-2.372283e+04,-0.000000e+00
2.550000e-03,V1,4.761905e-02,1.000000e+00
2.550000e-03,R1,-1.019517e-06,0.000000e+00
2.550000e-03,C1,-2.146351e+04,-0.000000e+00
2.560000e-03,V1,4.761905e-02,1.000000e+00
2.560000e-03,R1,-9.224200e-07,0.000000e+00
2.560000e-03,C1,-1.941937e+04,-0.000000e+00
2.570000e-03,V1,4.761905e-02,1.000000e+00
2.570000e-03,R1,-8.345705e-07,0.000000e+00
2.570000e-03,C1,-1.756990e+04,-0.000000e+00
2.580000e-03,V1,4.761905e-02,1.000000e+00
2.580000e-03,R1,-7.550876e-07,0.000000e+00
2.580000e-03,C1,-1.589658e+04,-0.000000e+00
2.590000e-03,V1,4.761905e-02,1.000000e+00
2.590000e-03,R1,-6.831745e-07,0.000000e+00
2.590000e-03,C1,-1.438262e+04,-0.000000e+00
2.600000e-03,V1,4.761905e-02,1.000000e+00
2.600000e-03,R1,-6.181102e-07,0.000000e+00
2.600000e-03,C1,-1.301285e+04,-0.000000e+00
2.610000e-03,V1,4.761905e-02,1.000000e+00
2.610000e-03,R1,-5.592426e-07,0.000000e+00
2.610000e-03,C1,-1.177353e+04,-0.000000e+00
2.620000e-03,V1,4.761905e-02,1.000000e+00
2.620000e-03,R1,-5.059814e-07,0.000000e+00
2.620000e-03,C1,-1.065224e+04,-0.000000e+00
2.630000e-03,V1,4.761905e-02,1.000000e+00
2.630000e-03,R1,-4.577927e-07,0.000000e+00
2.630000e-03,C1,-9.637741e+03,-0.000000e+00
2.640000e-03,V1,4.761905e-02,1.000000e+00
2.640000e-03,R1,-4.141934e-07,0.000000e+00
2.640000e-03,C1,-8.719861e+03,-0.000000e+00
2.650000e-03,V1,4.761905e-02,1.000000e+00
2.650000e-03,R1,-3.747464e-07,0.000000e+00
2.650000e-03,C1,-7.889398e+03,-0.000000e+00
2.660000e-03,V1,4.761905e-02,1.000000e+00
2.660000e-03,R1,-3.390563e-07,0.000000e+00
2.660000e-03,C1,-7.138026e+03,-0.000000e+00
2.670000e-03,V1,4.761905e-02,1.000000e+00
2.670000e-03,R1,-3.067652e-07,0.000000e+00
2.670000e-03,C1,-6.458214e+03,-0.000000e+00
2.680000e-03,V1,4.761905e-02,1.000000e+00
2.680000e-03,R1,-2.775495e-07,0.000000e+00
2.680000e-03,C1,-5.843146e+03,-0.000000e+00
2.690000e-03,V1,4.761905e-02,1.000000e+00
2.690000e-03,R1,-2.511162e-07,0.000000e+00
2.690000e-03,C1,-5.286656e+03,-0.000000e+00
2.700000e-03,V1,4.761905e-02,1.000000e+00
2.700000e-03,R1,-2.272003e-07,0.000000e+00
2.700000e-03,C1,-4.783165e+03,-0.000000e+00
2.710000e-03,V1,4.761905e-02,1.000000e+00
2.710000e-03,R1,-2.055622e-07,0.000000e+00
2.710000e-03,C1,-4.327626e+03,-0.000000e+00
2.720000e-03,V1,4.761905e-02,1.000000e+00
2.720000e-03,R1,-1.859849e-07,0.000000e+00
2.720000e-03,C1,-3.915471e+03,-0.000000e+00
2.730000e-03,V1,4.761905e-02,1.000000e+00
2.730000e-03,R1,-1.682720e-07,0.000000e+00
2.730000e-03,C1,-3.542569e+03,-0.000000e+00
2.740000e-03,V1,4.761905e-02,1.000000e+00
2.740000e-03,R1,-1.522461e-07,0.000000e+00
2.740000e-03,C1,-3.205181e+03,-0.000000e+00
2.750000e-03,V1,4.761905e-02,1.000000e+00
2.750000e-03,R1,-1.377465e-07,0.000000e+00
2.750000e-03,C1,-2.899926e+03,-0.000000e+00
2.760000e-03,V1,4.761905e-02,1.000000e+00
2.760000e-03,R1,-1.246278e-07,0.000000e+00
2.760000e-03,C1,-2.623743e+03,-0.000000e+00
2.770000e-03,V1,4.761905e-02,1.000000e+00
2.770000e-03,R1,-1.127585e-07,0.000000e+00
2.770000e-03,C1,-2.373862e+03,-0.000000e+00
2.780000e-03,V1,4.761905e-02,1.000000e+00
2.780000e-03,R1,-1.020196e-07,0.000000e+00
2.780000e-03,C1,-2.147780e+03,-0.000000e+00
2.790000e-03,V1,4.761905e-02,1.000000e+00
2.790000e-03,R1,-9.230341e-08,0.000000e+00
2.790000e-03,C1,-1.943230e+03,-0.000000e+00
2.800000e-03,V1,4.761905e-02,1.000000e+00
2.800000e-03,R1,-8.351261e-08,0.000000e+00
2.800000e-03,C1,-1.758160e+03,-0.000000e+00
2.810000e-03,V1,4.761905e-02,1.000000e+00
2.810000e-03,R1,-7.555903e-08,0.000000e+00
2.810000e-03,C1,-1.590716e+03,-0.000000e+00
2.820000e-03,V1,4.761905e-02,1.000000e+00
2.820000e-03,R1,-6.836293e-08,0.000000e+00
2.820000e-03,C1,-1.439220e+03,-0.000000e+00
2.830000e-03,V1,4.761905e-02,1.000000e+00
2.830000e-03,R1,-6.185217e-08,0.000000e+00
2.830000e-03,C1,-1.302151e+03,-0.000000e+00
2.840000e-03,V1,4.761905e-02,1.000000e+00
2.840000e-03,R1,-5.596149e-08,0.000000e+00
2.840000e-03,C1,-1.178137e+03,-0.000000e+00
2.850000e-03,V1,4.761905e-02,1.000000e+00
2.850000e-03,R1,-5.063182e-08,0.000000e+00
2.850000e-03,C1,-1.065933e+03,-0.000000e+00
2.860000e-03,V1,4.761905e-02,1.000000e+00
2.860000e-03,R1,-4.580975e-08,0.000000e+00
2.860000e-03,C1,-9.644157e+02,-0.000000e+00
2.870000e-03,V1,4.761905e-02,1.000000e+00
2.870000e-03,R1,-4.144691e-08,0.000000e+00
2.870000e-03,C1,-8.725666e+02,-0.000000e+00
2.880000e-03,V1,4.761905e-02,1.000000e+00
2.880000e-03,R1,-3.749959e-08,0.000000e+00
2.880000e-03,C1,-7.894650e+02,-0.000000e+00
2.890000e-03,V1,4.761905e-02,1.000000e+00
2.890000e-03,R1,-3.392820e-08,0.000000e+00
2.890000e-03,C1,-7.142779e+02,-0.000000e+00
2.900000e-03,V1,4.761905e-02,1.000000e+00
2.900000e-03,R1,-3.069694e-08,0.000000e+00
2.900000e-03,C1,-6.462514e+02,-0.000000e+00
2.910000e-03,V1,4.761905e-02,1.000000e+00
2.910000e-03,R1,-2.777342e-08,0.000000e+00
2.910000e-03,C1,-5.847037e+02,-0.000000e+00
2.920000e-03,V1,4.761905e-02,1.000000e+00
2.920000e-03,R1,-2.512834e-08,0.000000e+00
2.920000e-03,C1,-5.290176e+02,-0.000000e+00
2.930000e-03,V1,4.761905e-02,1.000000e+00
2.930000e-03,R1,-2.273516e-08,0.000000e+00
2.930000e-03,C1,-4.786350e+02,-0.000000e+00
2.940000e-03,V1,4.761905e-02,1.000000e+00
2.940000e-03,R1,-2.056991e-08,0.000000e+00
2.940000e-03,C1,-4.330507e+02,-0.000000e+00
2.950000e-03,V1,4.761905e-02,1.000000e+00
2.950000e-03,R1,-1.861087e-08,0.000000e+00
2.950000e-03,C1,-3.918078e+02,-0.000000e+00
2.960000e-03,V1,4.761905e-02,1.000000e+00
2.960000e-03,R1,-1.683840e-08,0.000000e+00
2.960000e-03,C1,-3.544927e+02,-0.000000e+00
2.970000e-03,V1,4.761905e-02,1.000000e+00
2.970000e-03,R1,-1.523475e-08,0.000000e+00
2.970000e-03,C1,-3.207315e+02,-0.000000e+00
2.980000e-03,V1,4.761905e-02,1.000000e+00
2.980000e-03,R1,-1.378382e-08,0.000000e+00
2.980000e-03,C1,-2.901857e+02,-0.000000e+00
2.990000e-03,V1,4.761905e-02,1.000000e+00
2.990000e-03,R1,-1.247107e-08,0.000000e+00
2.990000e-03,C1,-2.625489e+02,-0.000000e+00
3.000000e-03,V1,4.761905e-02,1.000000e+00
3.000000e-03,R1,-1.128335e-08,0.000000e+00
3.000000e-03,C1,-2.375443e+02,-0.000000e+00
3.010000e-03,V1,4.761905e-02,1.000000e+00
3.010000e-03,R1,2.267472e-04,-0.000000e+00
3.010000e-03,C1,2.267359e+06,0.000000e+00
3.020000e-03,V1,4.761905e-02,1.000000e+00
3.020000e-03,R1,2.051522e-04,-0.000000e+00
3.020000e-03,C1,4.318994e+06,0.000000e+00
3.030000e-03,V1,4.761905e-02,1.000000e+00
3.030000e-03,R1,1.856139e-04,-0.000000e+00
3.030000e-03,C1,3.907661e+06,0.000000e+00
3.040000e-03,V1,4.761905e-02,1.000000e+00
3.040000e-03,R1,1.679364e-04,-0.000000e+00
3.040000e-03,C1,3.535503e+06,0.000000e+00
3.050000e-03,V1,4.761905e-02,1.000000e+00
3.050000e-03,R1,1.519424e-04,-0.000000e+00
3.050000e-03,C1,3.198788e+06,0.000000e+00
3.060000e-03,V1,4.761905e-02,1.000000e+00
3.060000e-03,R1,1.374717e-04,-0.000000e+00
3.060000e-03,C1,2.894142e+06,0.000000e+00
3.070000e-03,V1,4.761905e-02,1.000000e+00
3.070000e-03,R1,1.243792e-04,-0.000000e+00
3.070000e-03,C1,2.618509e+06,0.000000e+00
3.080000e-03,V1,4.761905e-02,1.000000e+00
3.080000e-03,R1,1.125335e-04,-0.000000e+00
3.080000e-03,C1,2.369127e+06,0.000000e+00
3.090000e-03,V1,4.761905e-02,1.000000e+00
3.090000e-03,R1,1.018161e-04,-0.000000e+00
3.090000e-03,C1,2.143496e+06,0.000000e+00
3.100000e-03,V1,4.761905e-02,1.000000e+00
3.100000e-03,R1,9.211930e-05,-0.000000e+00
3.100000e-03,C1,1.939354e+06,0.000000e+00
3.110000e-03,V1,4.761905e-02,1.000000e+00
3.110000e-03,R1,8.334603e-05,-0.000000e+00
3.110000e-03,C1,1.754653e+06,0.000000e+00
3.120000e-03,V1,4.761905e-02,1.000000e+00
3.120000e-03,R1,7.540831e-05,-0.000000e+00
3.120000e-03,C1,1.587543e+06,0.000000e+00
3.130000e-03,V1,4.761905e-02,1.000000e+00
3.130000e-03,R1,6.822657e-05,-0.000000e+00
3.130000e-03,C1,1.436349e+06,0.000000e+00
3.140000e-03,V1,4.761905e-02,1.000000e+00
3.140000e-03,R1,6.172880e-05,-0.000000e+00
3.140000e-03,C1,1.299554e+06,0.000000e+00
3.150000e-03,V1,4.761905e-02,1.000000e+00
3.150000e-03,R1,5.584987e-05,-0.000000e+00
3.150000e-03,C1,1.175787e+06,0.000000e+00
3.160000e-03,V1,4.761905e-02,1.000000e+00
3.160000e-03,R1,5.053083e-05,-0.000000e+00
3.160000e-03,C1,1.063807e+06,0.000000e+00
3.170000e-03,V1,4.761905e-02,1.000000e+00
3.170000e-03,R1,4.571837e-05,-0.000000e+00
3.170000e-03,C1,9.624920e+05,0.000000e+00
3.180000e-03,V1,4.761905e-02,1.000000e+00
3.180000e-03,R1,4.136424e-05,-0.000000e+00
3.180000e-03,C1,8.708261e+05,0.000000e+00
3.190000e-03,V1,4.761905e-02,1.000000e+00
3.190000e-03,R1,3.742479e-05,-0.000000e+00
3.190000e-03,C1,7.878903e+05,0.000000e+00
3.200000e-03,V1,4.761905e-02,1.000000e+00
3.200000e-03,R1,3.386052e-05,-0.000000e+00
3.200000e-03,C1,7.128531e+05,0.000000e+00
3.210000e-03,V1,4.761905e-02,1.000000e+00
3.210000e-03,R1,3.063571e-05,-0.000000e+00
3.210000e-03,C1,6.449624e+05,0.000000e+00
3.220000e-03,V1,4.761905e-02,1.000000e+00
3.220000e-03,R1,2.771803e-05,-0.000000e+00
3.220000e-03,C1,5.835374e+05,0.000000e+00
3.230000e-03,V1,4.761905e-02,1.000000e+00
3.230000e-03,R1,2.507821e-05,-0.000000e+00
3.230000e-03,C1,5.279624e+05,0.000000e+00
3.240000e-03,V1,4.761905e-02,1.000000e+00
3.240000e-03,R1,2.268981e-05,-0.000000e+00
3.240000e-03,C1,4.776803e+05,0.000000e+00
3.250000e-03,V1,4.761905e-02,1.000000e+00
3.250000e-03,R1,2.052888e-05,-0.000000e+00
3.250000e-03,C1,4.321869e+05,0.000000e+00
3.260000e-03,V1,4.761905e-02,1.000000e+00
3.260000e-03,R1,1.857375e-05,-0.000000e+00
3.260000e-03,C1,3.910262e+05,0.000000e+00
3.270000e-03,V1,4.761905e-02,1.000000e+00
3.270000e-03,R1,1.680482e-05,-0.000000e+00
3.270000e-03,C1,3.537856e+05,0.000000e+00
3.280000e-03,V1,4.761905e-02,1.000000e+00
3.280000e-03,R1,1.520436e-05,-0.000000e+00
3.280000e-03,C1,3.200918e+05,0.000000e+00
3.290000e-03,V1,4.761905e-02,1.000000e+00
3.290000e-03,R1,1.375633e-05,-0.000000e+00
3.290000e-03,C1,2.896068e+05,0.000000e+00
3.300000e-03,V1,4.761905e-02,1.000000e+00
3.300000e-03,R1,1.244620e-05,-0.000000e+00
3.300000e-03,C1,2.620252e+05,0.000000e+00
3.310000e-03,V1,4.761905e-02,1.000000e+00
3.310000e-03,R1,1.126085e-05,-0.000000e+00
3.310000e-03,C1,2.370705e+05,0.000000e+00
3.320000e-03,V1,4.761905e-02,1.000000e+00
3.320000e-03,R1,1.018839e-05,-0.000000e+00
3.320000e-03,C1,2.144923e+05,0.000000e+00
3.330000e-03,V1,4.761905e-02,1.000000e+00
3.330000e-03,R1,9.218063e-06,-0.000000e+00
3.330000e-03,C1,1.940645e+05,0.000000e+00
3.340000e-03,V1,4.761905e-02,1.000000e+00
3.340000e-03,R1,8.340152e-06,-0.000000e+00
3.340000e-03,C1,1.755821e+05,0.000000e+00
