time (s),Parameter,dV(out),dV(in)
3.300000e-04,V1,4.761905e-02,1.000000e+00
3.300000e-04,R1,-9.218478e-06,0.000000e+00
3.300000e-04,C1,-1.940732e+05,-0.000000e+00
3.400000e-04,V1,4.761905e-02,1.000000e+00
3.400000e-04,R1,-8.340527e-06,0.000000e+00
3.400000e-04,C1,-1.755901e+05,-0.000000e+00
3.500000e-04,V1,4.761905e-02,1.000000e+00
3.500000e-04,R1,-7.546191e-06,0.000000e+00
3.500000e-04,C1,-1.588672e+05,-0.000000e+00
3.600000e-04,V1,4.761905e-02,1.000000e+00
3.600000e-04,R1,-6.827507e-06,0.000000e+00
3.600000e-04,C1,-1.437370e+05,-0.000000e+00
3.700000e-04,V1,4.761905e-02,1.000000e+00
3.700000e-04,R1,-6.177268e-06,0.000000e+00
3.700000e-04,C1,-1.300477e+05,-0.000000e+00
3.800000e-04,V1,4.761905e-02,1.000000e+00
3.800000e-04,R1,-5.588957e-06,0.000000e+00
3.800000e-04,C1,-1.176622e+05,-0.000000e+00
3.900000e-04,V1,4.761905e-02,1.000000e+00
3.900000e-04,R1,-5.056675e-06,0.000000e+00
3.900000e-04,C1,-1.064563e+05,-0.000000e+00
4.000000e-04,V1,4.761905e-02,1.000000e+00
4.000000e-04,R1,-4.575087e-06,0.000000e+00
4.000000e-04,C1,-9.631762e+04,-0.000000e+00
4.100000e-04,V1,4.761905e-02,1.000000e+00
4.100000e-04,R1,-4.139364e-06,0.000000e+00
4.100000e-04,C1,-8.714451e+04,-0.000000e+00
4.200000e-04,V1,4.761905e-02,1.000000e+00
4.200000e-04,R1,-3.745139e-06,0.000000e+00
4.200000e-04,C1,-7.884504e+04,-0.000000e+00
4.300000e-04,V1,4.761905e-02,1.000000e+00
4.300000e-04,R1,-3.388459e-06,0.000000e+00
4.300000e-04,C1,-7.133598e+04,-0.000000e+00
4.400000e-04,V1,4.761905e-02,1.000000e+00
4.400000e-04,R1,-3.065749e-06,0.000000e+00
4.400000e-04,C1,-6.454208e+04,-0.000000e+00
4.500000e-04,V1,4.761905e-02,1.000000e+00
4.500000e-04,R1,-2.773773e-06,0.000000e+00
4.500000e-04,C1,-5.839522e+04,-0.000000e+00
4.600000e-04,V1,4.761905e-02,1.000000e+00
4.600000e-04,R1,-2.509604e-06,0.000000e+00
4.600000e-04,C1,-5.283377e+04,-0.000000e+00
4.700000e-04,V1,4.761905e-02,1.000000e+00
4.700000e-04,R1,-2.270594e-06,0.000000e+00
4.700000e-04,C1,-4.780198e+04,-0.000000e+00
4.800000e-04,V1,4.761905e-02,1.000000e+00
4.800000e-04,R1,-2.054347e-06,0.000000e+00
4.800000e-04,C1,-4.324941e+04,-0.000000e+00
4.900000e-04,V1,4.761905e-02,1.000000e+00
4.900000e-04,R1,-1.858695e-06,0.000000e+00
4.900000e-04,C1,-3.913042e+04,-0.000000e+00
5.000000e-04,V1,4.761905e-02,1.000000e+00
5.000000e-04,R1,-1.681676e-06,0.000000e+00
5.000000e-04,C1,-3.540371e+04,-0.000000e+00
5.100000e-04,V1,4.761905e-02,1.000000e+00
5.100000e-04,R1,-1.521517e-06,0.000000e+00
5.100000e-04,C1,-3.203193e+04,-0.000000e+00
5.200000e-04,V1,4.761905e-02,1.000000e+00
5.200000e-04,R1,-1.376610e-06,0.000000e+00
5.200000e-04,C1,-2.898127e+04,-0.000000e+00
5.300000e-04,V1,4.761905e-02,1.000000e+00
5.300000e-04,R1,-1.245505e-06,0.000000e+00
5.300000e-04,C1,-2.622115e+04,-0.000000e+00
5.400000e-04,V1,4.761905e-02,1.000000e+00
5.400000e-04,R1,-1.126885e-06,0.000000e+00
5.400000e-04,C1,-2.372390e+04,-0.000000e+00
5.500000e-04,V1,4.761905e-02,1.000000e+00
5.500000e-04,R1,-1.019563e-06,0.000000e+00
5.500000e-04,C1,-2.146448e+04,-0.000000e+00
5.600000e-04,V1,4.761905e-02,1.000000e+00
5.600000e-04,R1,-9.224615e-07,0.000000e+00
5.600000e-04,C1,-1.942024e+04,-0.000000e+00
5.700000e-04,V1,4.761905e-02,1.000000e+00
5.700000e-04,R1,-8.346080e-07,0.000000e+00
5.700000e-04,C1,-1.757070e+04,-0.000000e+00
5.800000e-04,V1,4.761905e-02,1.000000e+00
5.800000e-04,R1,-7.551216e-07,0.000000e+00
5.800000e-04,C1,-1.589730e+04,-0.000000e+00
5.900000e-04,V1,4.761905e-02,1.000000e+00
5.900000e-04,R1,-6.832052e-07,0.000000e+00
5.900000e-04,C1,-1.438327e+04,-0.000000e+00
6.000000e-04,V1,4.761905e-02,1.000000e+00
6.000000e-04,R1,-6.181380e-07,0.000000e+00
6.000000e-04,C1,-1.301343e+04,-0.000000e+00
6.100000e-04,V1,4.761905e-02,1.000000e+00
6.100000e-04,R1,-5.592678e-07,0.000000e+00
6.100000e-04,C1,-1.177406e+04,-0.000000e+00
6.200000e-04,V1,4.761905e-02,1.000000e+00
6.200000e-04,R1,-5.060042e-07,0.000000e+00
6.200000e-04,C1,-1.065272e+04,-0.000000e+00
6.300000e-04,V1,4.761905e-02,1.000000e+00
6.300000e-04,R1,-4.578133e-07,0.000000e+00
6.300000e-04,C1,-9.638175e+03,-0.000000e+00
6.400000e-04,V1,4.761905e-02,1.000000e+00
6.400000e-04,R1,-4.142120e-07,0.000000e+00
6.400000e-04,C1,-8.720253e+03,-0.000000e+00
6.500000e-04,V1,4.761905e-02,1.000000e+00
6.500000e-04,R1,-3.747633e-07,0.000000e+00
6.500000e-04,C1,-7.889753e+03,-0.000000e+00
6.600000e-04,V1,4.761905e-02,1.000000e+00
6.600000e-04,R1,-3.390715e-07,0.000000e+00
6.600000e-04,C1,-7.138348e+03,-0.000000e+00
6.700000e-04,V1,4.761905e-02,1.000000e+00
6.700000e-04,R1,-3.067790e-07,0.000000e+00
6.700000e-04,C1,-6.458505e+03,-0.000000e+00
6.800000e-04,V1,4.761905e-02,1.000000e+00
6.800000e-04,R1,-2.775619e-07,0.000000e+00
6.800000e-04,C1,-5.843409e+03,-0.000000e+00
6.900000e-04,V1,4.761905e-02,1.000000e+00
6.900000e-04,R1,-2.511275e-07,0.000000e+00
6.900000e-04,C1,-5.286894e+03,-0.000000e+00
7.000000e-04,V1,4.761905e-02,1.000000e+00
7.000000e-04,R1,-2.272106e-07,0.000000e+00
7.000000e-04,C1,-4.783381e+03,-0.000000e+00
7.100000e-04,V1,4.761905e-02,1.000000e+00
7.100000e-04,R1,-2.055715e-07,0.000000e+00
7.100000e-04,C1,-4.327820e+03,-0.000000e+00
7.200000e-04,V1,4.761905e-02,1.000000e+00
7.200000e-04,R1,-1.859932e-07,0.000000e+00
7.200000e-04,C1,-3.915647e+03,-0.000000e+00
7.300000e-04,V1,4.761905e-02,1.000000e+00
7.300000e-04,R1,-1.682796e-07,0.000000e+00
7.300000e-04,C1,-3.542728e+03,-0.000000e+00
7.400000e-04,V1,4.761905e-02,1.000000e+00
7.400000e-04,R1,-1.522530e-07,0.000000e+00
7.400000e-04,C1,-3.205326e+03,-0.000000e+00
7.500000e-04,V1,4.761905e-02,1.000000e+00
7.500000e-04,R1,-1.377527e-07,0.000000e+00
7.500000e-04,C1,-2.900057e+03,-0.000000e+00
7.600000e-04,V1,4.761905e-02,1.000000e+00
7.600000e-04,R1,-1.246334e-07,0.000000e+00
7.600000e-04,C1,-2.623861e+03,-0.000000e+00
7.700000e-04,V1,4.761905e-02,1.000000e+00
7.700000e-04,R1,-1.127635e-07,0.000000e+00
7.700000e-04,C1,-2.373969e+03,-0.000000e+00
7.800000e-04,V1,4.761905e-02,1.000000e+00
7.800000e-04,R1,-1.020242e-07,0.000000e+00
7.800000e-04,C1,-2.147877e+03,-0.000000e+00
7.900000e-04,V1,4.761905e-02,1.000000e+00
7.900000e-04,R1,-9.230757e-08,0.000000e+00
7.900000e-04,C1,-1.943317e+03,-0.000000e+00
8.000000e-04,V1,4.761905e-02,1.000000e+00
8.000000e-04,R1,-8.351637e-08,0.000000e+00
8.000000e-04,C1,-1.758239e+03,-0.000000e+00
8.100000e-04,V1,4.761905e-02,1.000000e+00
8.100000e-04,R1,-7.556243e-08,0.000000e+00
8.100000e-04,C1,-1.590788e+03,-0.000000e+00
8.200000e-04,V1,4.761905e-02,1.000000e+00
8.200000e-04,R1,-6.836601e-08,0.000000e+00
8.200000e-04,C1,-1.439284e+03,-0.000000e+00
8.300000e-04,V1,4.761905e-02,1.000000e+00
8.300000e-04,R1,-6.185496e-08,0.000000e+00
8.300000e-04,C1,-1.302210e+03,-0.000000e+00
8.400000e-04,V1,4.761905e-02,1.000000e+00
8.400000e-04,R1,-5.596401e-08,0.000000e+00
8.400000e-04,C1,-1.178190e+03,-0.000000e+00
8.500000e-04,V1,4.761905e-02,1.000000e+00
8.500000e-04,R1,-5.063410e-08,0.000000e+00
8.500000e-04,C1,-1.065981e+03,-0.000000e+00
8.600000e-04,V1,4.761905e-02,1.000000e+00
8.600000e-04,R1,-4.581181e-08,0.000000e+00
8.600000e-04,C1,-9.644591e+02,-0.000000e+00
8.700000e-04,V1,4.761905e-02,1.000000e+00
8.700000e-04,R1,-4.144878e-08,0.000000e+00
8.700000e-04,C1,-8.726059e+02,-0.000000e+00
8.800000e-04,V1,4.761905e-02,1.000000e+00
8.800000e-04,R1,-3.750128e-08,0.000000e+00
8.800000e-04,C1,-7.895006e+02,-0.000000e+00
8.900000e-04,V1,4.761905e-02,1.000000e+00
8.900000e-04,R1,-3.392973e-08,0.000000e+00
8.900000e-04,C1,-7.143100e+02,-0.000000e+00
