voltage (V),Parameter,dV(2)
4.700000e+00,R2,1.175000e-03
4.800000e+00,V1,5.000000e-01
4.800000e+00,R1,-1.200000e-03
4.800000e+00,R2,1.200000e-03
4.900000e+00,V1,5.000000e-01
4.900000e+00,R1,-1.225000e-03
4.900000e+00,R2,1.225000e-03
5.000000e+00,V1,5.000000e-01
5.000000e+00,R1,-1.250000e-03
5.000000e+00,R2,1.250000e-03
